Timestamp,CONSENT SURVEY:,What age group do you belong to?,What is your sex?,What is your highest education attainment?,What region are you from?,Name of Your Company:,1A. Our workforce knows our organization's mission (what are we trying to accomplish).,1B. Our workforce knows our organization's vision (where it is trying to go in the future).,1C. Our leadership team is ethical and demonstrates our organization's values.,1D. Our leadership team creates a work environment that helps our employees do their jobs.,1E. Our leadership team shares the information about the organization.,1F. Our leadership team asks employees what they think.,"2A. As our leadership team plans for the future, we ask our employees for their ideas.",2B. Our organization encourages totally new ideas (innovation).,2C. Our employees know the parts of our organization's plans that will affect them and their work.,2D. Our employees know how to tell if they are making progress on their workgroup's part of the plan.,2E. Our organization is felixble and makes changes quickly when needed. ,3A. Our employees know who their most important customers are,3B. Our employees regularly ask their customers what they need and want.,3C. Our employees ask if their customers are satisfied or dissatisfied with their work.,3D. Our employees are allowed to make decisions to satisfy their customers.,3E. Our employees also know who our organization's most important customers are.,4A. Our employees know how to measure the quality of their work.,4B. Our employees use this information to make changes that will improve their work.,4C. Our employees know how the measures they use in their work fit into our organization's overall measures of improvement.,4D. Our employees get all the information they need to do their work.,4E. Our employee know how our organization as a whole is doing.,5A. Our employees cooperate and work as a team.,5B. Our leadership team encourages and enables our employees to develop their job skills so they can advance in their careers.,5C. Our employees are recognized for their work.,5D. Our organization has a safe workplace.,5E. Our managers and our organization care about our workforce.,5F. Our workforce is committed to our organization's success.,6A. Our employees can get everything they need to do their jobs.,6B. Our organization has a good processes for doing its work.,6C. Our employees can improve their personal work process when necessary.,6D. Our organization is prepared to handle an emergency. ,7A. Our employee's work products meet all requirements.,7B. Our employee's customers are satisfied with their work.,7C. Our workforce knows how well our organization is doing financially.,7D. Our organization has the right people and skills to do its work.,7E. Our organization removes things that get in the way of progress.,7F. Our organization obeys laws and regulations.,7G. Our organization practices high standards and ethics.,7H. Our organization helps our employees help their community.,7I. Our employees believes our organization is a good place to work.
7/13/2022 10:52:43,AGREE,41 to 50 years old,Female,College Graduate,Region X: Northern Mindanao,SLERS Industries Inc.,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3
7/14/2022 9:38:41,AGREE,31 to 40 years old,Male,College Level,Region IV-A: Calabarzon,Aretei Foods Corp.,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3
7/14/2022 10:10:38,AGREE,21 to 30 years old,Female,College Graduate,Region IV-A: Calabarzon,Aretei Foods Corp.,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/14/2022 10:27:25,AGREE,21 to 30 years old,Female,High School Graduate,National Capital Region (NCR),Aretei Foods Corp.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/14/2022 10:55:19,AGREE,41 to 50 years old,Female,College Level,National Capital Region (NCR),Aretei Foods Corp.,4,3,4,4,2,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4
7/14/2022 15:56:06,AGREE,41 to 50 years old,Male,College Level,National Capital Region (NCR),Aretei Foods Corp.,3,3,4,4,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/14/2022 17:21:39,AGREE,21 to 30 years old,Female,College Level,National Capital Region (NCR),Aretei Foods Corp.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/18/2022 11:29:31,AGREE,21 to 30 years old,Female,High School Graduate,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,3,3,3,3,3,4,4,4,3,4,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,4,3,3
7/18/2022 11:29:48,AGREE,21 to 30 years old,Female,High School Graduate,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/18/2022 11:30:53,AGREE,41 to 50 years old,Female,College Graduate,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,4,4,4
7/18/2022 11:31:27,AGREE,21 to 30 years old,Female,College Graduate,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4
7/18/2022 17:28:47,AGREE,60 years old and above,Female,Post-Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,2,3,3,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,3,2,3,3
7/19/2022 20:56:40,AGREE,21 to 30 years old,Female,College Level,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4
7/20/2022 9:42:42,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,4
7/20/2022 11:24:02,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,4
7/20/2022 11:59:26,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,3
7/20/2022 13:41:50,AGREE,41 to 50 years old,Female,Post-Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,3,3,4,4,4,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4
7/21/2022 9:17:45,AGREE,21 to 30 years old,Male,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
7/21/2022 9:18:39,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,4,4,3,4
7/21/2022 9:19:11,AGREE,31 to 40 years old,Male,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/22/2022 14:29:55,AGREE,41 to 50 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4
7/24/2022 20:35:39,AGREE,41 to 50 years old,Female,College Level,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/25/2022 8:31:26,AGREE,21 to 30 years old,Female,College Level,Region XII: Soccsksargen,Kablon Farm Food Corporation,4,4,3,4,4,4,3,3,4,2,3,4,4,4,3,3,4,4,3,3,3,4,4,3,4,3,4,3,3,4,3,3,3,4,4,3,4,4,3,3
7/25/2022 8:37:31,AGREE,31 to 40 years old,Male,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
7/25/2022 8:38:29,AGREE,31 to 40 years old,Female,Post-Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3
7/25/2022 8:57:20,AGREE,31 to 40 years old,Female,College Level,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,3,2,2,3,2,2,2,3,3,4,3,3,2,2,3,1,3,3,4,3,3,3,3,4,3,3,3,3,3,3,1,3,3,4,3,2,3
7/25/2022 11:05:26,AGREE,21 to 30 years old,Female,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,2,2,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3
7/25/2022 11:33:48,AGREE,21 to 30 years old,Male,College Level,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,3,3,3,3,2,3,3,4,2,2,3,3,2,3,3,3,3,3,4,3,3,4,4,4,3,4,3,4,2,3,3,3,3,4,3,3,3
7/27/2022 9:40:03,AGREE,21 to 30 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,4,4,3,3,4,4,4,3,3,3,3,4,2,2,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,2,3,2,3,3
7/27/2022 9:40:29,AGREE,21 to 30 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,3,2,3,2,1,2,4,3,2,3,3,4,3,3,4,2,2,2,3,2,3,2,2,3,3,3,2,3,2,4,3,3,2,3,2,3,3,2,3
7/27/2022 9:45:48,AGREE,41 to 50 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4
7/27/2022 20:56:17,AGREE,50 to 60 years old,Male,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
7/28/2022 9:17:37,AGREE,31 to 40 years old,Female,College Level,Region V: Bicol Region,J. Emmanuel Pastries,4,4,4,4,4,4,4,3,4,3,4,3,3,2,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3
7/29/2022 6:34:31,AGREE,21 to 30 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,3,4,3,3,4,3,2,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3
8/5/2022 11:18:33,AGREE,21 to 30 years old,Female,High School Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,3,4,4,4,3,4
8/6/2022 21:58:17,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,4,4,3,3,3,2,3,3,3,2,2,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,3
8/6/2022 22:02:10,AGREE,31 to 40 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,2,3
8/10/2022 8:54:13,AGREE,21 to 30 years old,Female,College Graduate,Region IV-A: Calabarzon,C&H Cosmetics Industry,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
8/10/2022 9:09:53,AGREE,21 to 30 years old,Female,College Graduate,Region IV-A: Calabarzon,C&H Cosmetics Industry,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8/10/2022 9:15:33,AGREE,20 years old and Below,Female,College Graduate,Region VI: Western Visayas,C&H Cosmetics Industry,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8/10/2022 12:17:13,AGREE,21 to 30 years old,Female,College Level,Region IV-A: Calabarzon,C&H Cosmetics Industry,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3
9/15/2022 14:00:22,AGREE,60 years old and above,Female,College Graduate,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3
10/5/2022 11:06:13,AGREE,21 to 30 years old,Female,College Level,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,3,4,3,3,4,3,3,4,4,4,4
10/5/2022 11:20:45,AGREE,31 to 40 years old,Female,Post-Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4
10/5/2022 11:35:11,AGREE,31 to 40 years old,Female,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,2,3,3,3,4,4,2,2,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,4,3,2,2,3,2,2,3,2,2,2,3,2,3,3
10/5/2022 11:36:58,AGREE,31 to 40 years old,Female,Post-Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3
10/5/2022 11:41:49,AGREE,21 to 30 years old,Female,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,4,4,4,2,3,3,4,3,3,4
10/5/2022 13:22:30,AGREE,31 to 40 years old,Female,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,3,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3
10/5/2022 15:53:53,AGREE,21 to 30 years old,Female,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,4,4,3,3
10/5/2022 16:22:07,AGREE,21 to 30 years old,Male,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,4,3,3,3,3,3,3,4,3,3
10/6/2022 7:35:29,AGREE,50 to 60 years old,Female,College Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,2,2,2,2,2,3,2,3,4,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,3,3,3,2,3,2,1,1,2,4,2,3,3
10/6/2022 9:06:52,AGREE,31 to 40 years old,Female,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4
10/6/2022 9:22:21,AGREE,31 to 40 years old,Female,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,4
10/6/2022 9:38:22,AGREE,21 to 30 years old,Female,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,4,3,3,3,2,3,3,3,2,3,4,4,3,2,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,4,4,3,3,3,2,3,3,3,4
10/6/2022 10:26:30,AGREE,21 to 30 years old,Female,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4
10/6/2022 10:58:30,AGREE,31 to 40 years old,Male,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,3,4,3,3,3,3,4,3,3,3,4,3,3,4,4,3,3,3,4,3,3,4,4,4,2,4,4,4,3,3,3,4,3,4,4,4,4
10/6/2022 13:47:05,AGREE,21 to 30 years old,Female,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,3,4,3,4,3,3,3,2,2,4,3,3,2,3,4,4,4,4,3,4,4,3,3,3,4,3,3,3,4,3,3,3,4,2,3,4,4,4
